Unity time	tracker time	eye ray x	eye ray y	 eye ray z	eye screen x	eye screen z	status 	 objX 	objY 	Target Size	Button	Spawn Angle	Kill Angle	Eye Moved
4.4	0	-0.6409669	0.745013	0.1847081	-145.7916	788.7099	1	2266.569	352.6451	1	0	0	0	False
4.41	0	-0.6425579	0.7420281	0.1910855	-145.7916	788.7098	1	2244.417	353.0931	1	0	0	0	False
4.42	0	-0.6425579	0.7420281	0.1910855	-145.7916	788.7098	1	2244.417	353.0931	1	0	0	0	False
4.43	0	-0.6449147	0.7385905	0.1963901	-145.7916	788.7098	1	2230.183	353.1069	1	0	0	0	False
4.44	0	-0.6478424	0.7348275	0.20082	-145.7916	788.7098	1	2222.657	353.0016	1	0	0	0	False
4.45	0	-0.6510264	0.7312717	0.2034855	-145.7916	788.7098	1	2224.509	352.8116	1	0	0	0	False
4.46	0	-0.6510264	0.7312717	0.2034855	-145.7916	788.7098	1	2224.509	352.8116	1	0	0	0	False
4.47	0	-0.6543843	0.7278932	0.2048241	-145.7916	788.7098	1	2234.432	352.8742	1	0	0	0	False
4.48	0	-0.6577106	0.7247087	0.2054603	-145.7916	788.7098	1	2248.314	353.1031	1	0	0	0	False
4.49	0	-0.6607377	0.7219725	0.2053813	-145.7916	788.7098	1	2266.506	353.9354	1	0	0	0	False
4.5	0	-0.6607377	0.7219725	0.2053813	-145.7916	788.7098	1	2266.506	353.9354	1	0	0	0	False
4.51	0	-0.663554	0.7195166	0.2049194	-145.7917	788.7098	1	2286.838	355.0451	1	0	0	0	False
4.52	0	-0.6666488	0.7168102	0.204359	-145.7917	788.7098	1	2307.804	355.6605	1	0	0	0	False
4.53	0	-0.6700301	0.7137374	0.2040556	-145.7916	788.7098	1	2329.157	356.2198	1	0	0	0	False
4.54	0	-0.6700301	0.7137374	0.2040556	-145.7916	788.7098	1	2329.157	356.2198	1	0	0	0	False
4.55	0	-0.6737087	0.7103338	0.2038196	-145.7916	788.7098	1	2351.982	356.715	1	0	0	0	False
4.56	0	-0.6776068	0.7067118	0.2034882	-145.7916	788.7098	1	2376.443	357.0312	1	0	0	0	False
4.57	0	-0.681435	0.7033479	0.2023566	-145.7916	788.7098	1	2404.222	356.9528	1	0	0	0	False
4.58	0	-0.681435	0.7033479	0.2023566	-145.7916	788.7098	1	2404.222	356.9528	1	0	0	0	False
4.59	0	-0.685508	0.6997748	0.2009825	-145.7916	788.7098	1	2434.208	356.474	1	0	0	0	False
4.6	0	-0.6894637	0.6963036	0.1995022	-145.7916	788.7098	1	2464.671	355.8781	1	0	0	0	False
4.61	0	-0.6933683	0.692775	0.1982507	-145.7916	788.7098	1	2497.389	356.0654	1	0	0	0	False
4.62	0	-0.6933683	0.692775	0.1982507	-145.7916	788.7098	1	2497.389	356.0654	1	0	0	0	False
4.63	0	-0.6976737	0.6887138	0.1972933	-145.7916	788.7098	1	2532.158	356.3268	1	0	0	0	False
4.64	0	-0.7011897	0.6850517	0.1975784	-145.7916	788.7098	1	2560.51	358.1036	1	0	0	0	False
4.65	0	-0.7056589	0.6807475	0.1965411	-145.7916	788.7098	1	2600.731	358.7921	1	0	0	0	False
4.66	0	-0.7056589	0.6807475	0.1965411	-145.7916	788.7098	1	2600.731	358.7921	1	0	0	0	False
4.67	0	-0.7097955	0.6762787	0.1970722	-145.7916	788.7098	1	2636.433	361.3277	1	0	0	0	False
4.68	0	-0.7123765	0.6737306	0.1964859	-145.7916	788.7098	1	2669.315	363.7516	1	0	0	0	False
4.69	0	-0.717085	0.6688144	0.1961542	-145.7916	788.7098	1	2705.734	363.4903	1	0	0	0	False
4.7	0	-0.717085	0.6688144	0.1961542	-145.7916	788.7098	1	2705.734	363.4903	1	0	0	0	False
4.71	0	-0.7210343	0.6649002	0.1949798	-145.7916	788.7097	1	2747.981	364.1411	1	0	0	0	False
4.72	0	-0.724439	0.6611778	0.1950181	-145.7916	788.7098	1	2773.725	363.9167	1	0	0	0	False
4.73	0	-0.7254983	0.6596476	0.1962587	-145.7917	788.7098	1	2783.901	366.5864	1	0	0	0	False
4.74	0	-0.7254983	0.6596476	0.1962587	-145.7917	788.7098	1	2783.901	366.5864	1	0	0	0	False
4.75	0	-0.7279721	0.6567045	0.1969665	-145.7916	788.7098	1	2798.353	366.6163	1	0	0	0	False
4.76	0	-0.7310439	0.6529262	0.1981468	-145.7916	788.7098	1	2807.773	365.231	1	0	0	0	False
4.77	0	-0.7350614	0.6477355	0.2003082	-145.7917	788.7098	1	2813.961	363.1532	1	0	0	0	False
4.78	0	-0.7350614	0.6477355	0.2003082	-145.7917	788.7098	1	2813.961	363.1532	1	0	0	0	False
4.79	0	-0.7397445	0.641558	0.2029319	-145.7916	788.7098	1	2821.254	360.9182	1	0	0	0	False
4.8	0	-0.7451934	0.6344049	0.2054683	-145.7917	788.7098	1	2837.441	359.0068	1	0	0	0	False
4.81	0	-0.751109	0.6262742	0.2088441	-145.7916	788.7098	1	2846.394	356.1521	1	0	0	0	False
4.82	0	-0.751109	0.6262742	0.2088441	-145.7916	788.7098	1	2846.394	356.1521	1	0	0	0	False
4.83	0	-0.7542232	0.6207387	0.2140812	-145.7916	788.7098	1	2832.874	357.191	1	0	0	0	False
4.84	0	-0.754127	0.6184817	0.2208461	-145.7916	788.7098	1	2805.05	363.8263	1	0	0	0	False
4.85	0	-0.7524919	0.6176084	0.2287266	-145.7916	788.7098	1	2771.233	373.6166	1	0	0	0	False
4.86	0	-0.7524919	0.6176084	0.2287266	-145.7916	788.7098	1	2771.233	373.6166	1	0	0	0	False
4.87	0	-0.75112	0.6167749	0.2353881	-145.7916	788.7098	1	2751.456	383.5389	1	0	0	0	False
4.88	0	-0.7505401	0.6144175	0.243271	-145.7916	788.7098	1	2716.808	390.3259	1	0	0	0	False
4.89	0	-0.749694	0.61287	0.2496987	-145.7917	788.7098	1	2686.245	395.6021	1	0	0	0	False
4.9	0	-0.749694	0.61287	0.2496987	-145.7917	788.7098	1	2686.245	395.6021	1	0	0	0	False
4.91	0	-0.7463651	0.6147963	0.2548817	-145.7917	788.7098	1	2656.08	402.7743	1	0	0	0	False
4.92	0	-0.7427609	0.6183707	0.2567565	-145.7916	788.7098	1	2646.159	409.6297	1	0	0	0	False
4.93	0	-0.7400382	0.6213339	0.2574642	-145.7916	788.7098	1	2644.745	415.1124	1	0	0	0	False
4.94	0	-0.7400382	0.6213339	0.2574642	-145.7916	788.7098	1	2644.745	415.1124	1	0	0	0	False
4.95	0	-0.7396122	0.6223202	0.2563032	-145.7916	788.7098	1	2662.314	418.3998	1	0	0	0	False
4.96	0	-0.7384496	0.6247148	0.2538178	-145.7917	788.7098	1	2685.835	422.1877	1	0	0	0	False
4.97	0	-0.7377923	0.6269286	0.2502461	-145.7917	788.7098	1	2709.272	423.1276	1	0	0	0	False
4.98	0	-0.7377923	0.6269286	0.2502461	-145.7917	788.7098	1	2709.272	423.1276	1	0	0	0	False
4.99	0	-0.7374766	0.6294777	0.244716	-145.7916	788.7098	1	2731.572	419.6375	1	0	0	0	False
5	0	-0.7379393	0.6316885	0.237519	-145.7916	788.7098	1	2767.887	415.0457	1	0	0	0	False
5.01	0	-0.7376091	0.6356471	0.2277843	-145.7917	788.7098	1	2797.733	405.3241	1	0	0	0	False
5.02	0	-0.7376091	0.6356471	0.2277843	-145.7917	788.7098	1	2797.733	405.3241	1	0	0	0	False
5.03	0	-0.7379827	0.6394518	0.2155988	-145.7916	788.7098	1	2830.873	390.0629	1	0	0	0	False
5.04	0	-0.7394463	0.6420682	0.2024046	-145.7916	788.7098	1	2870.153	371.4501	1	0	0	0	False
5.05	0	-0.741077	0.6443343	0.188781	-145.7916	788.7098	1	2902.854	349.2458	1	0	0	0	False
5.06	0	-0.741077	0.6443343	0.188781	-145.7916	788.7098	1	2902.854	349.2458	1	0	0	0	False
5.07	0	-0.743122	0.64584	0.175101	-145.7916	788.7098	1	2941.598	326.3093	1	0	0	0	False
5.08	0	-0.7454576	0.6465853	0.1619273	-145.7916	788.7098	1	2986.4	303.7546	1	0	0	0	False
5.09	0	-0.747309	0.6472385	0.1503716	-145.7917	788.7098	1	3013.266	280.9899	1	0	0	0	False
